Date,Open,High,Low,Close,Volume,Change
2021-11-16,71100,71400,66900,68500,965592,-0.03385049365303239
2021-11-17,68800,70800,67500,69100,754250,0.008759124087591275
2021-11-18,69300,70000,66800,67000,484421,-0.03039073806078152
2021-11-19,67500,67500,65500,65900,313837,-0.016417910447761197
2021-11-22,66100,66500,62600,64100,435822,-0.0273141122913505
2021-11-23,62600,64700,61900,62500,340641,-0.0249609984399376
2021-11-24,63300,64700,61000,62700,382728,0.0032000000000000917
2021-11-25,62400,63200,60100,60800,471663,-0.030303030303030276
2021-11-26,61000,61400,57400,57900,504148,-0.047697368421052655
2021-11-29,57000,58500,55300,56500,398176,-0.024179620034542326
2021-11-30,57300,58900,54700,55700,354134,-0.01415929203539823
2021-12-01,56400,56700,53400,55100,523932,-0.010771992818671472
2021-12-02,54100,54700,52000,52900,605308,-0.03992740471869327
2021-12-03,53900,56800,53400,55700,738688,0.05293005671077511
2021-12-06,54800,55300,53800,54400,312539,-0.02333931777378817
2021-12-07,55700,57900,54500,56300,567217,0.03492647058823528
2021-12-08,57100,57900,55100,55400,456692,-0.01598579040852577
2021-12-09,55700,57600,55500,56300,519209,0.016245487364620947
2021-12-10,55600,56400,54400,54800,465722,-0.026642984014209614
2021-12-13,55400,55700,54100,54100,283665,-0.012773722627737238
2021-12-14,53600,54600,53300,53700,178318,-0.007393715341959317
2021-12-15,53600,54200,52700,53200,198194,-0.009310986964618295
2021-12-16,53700,56200,53700,54200,332607,0.018796992481203034
2021-12-17,53300,53500,52600,53100,255453,-0.020295202952029467
2021-12-20,52400,53200,51500,51600,291436,-0.02824858757062143
2021-12-21,51800,52700,50900,52200,217627,0.011627906976744207
2021-12-22,53100,54200,52900,53600,250744,0.026819923371647514
2021-12-23,54500,55500,52900,53500,331709,-0.001865671641791078
